database,db_version,id,speaker,emotion,cmu_a_id,script,sentence_path,duration
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0058,bea,amused,0058,I came for information more out of curiosity than anything else.,bea/amused/amused_0058.wav,4.720090702947846
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0059,bea,amused,0059,His immaculate appearance was gone.,bea/amused/amused_0059.wav,3.6300680272108843
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0060,bea,amused,0060,"Anyway, no one saw her like that.",bea/amused/amused_0060.wav,2.160045351473923
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0061,bea,amused,0061,Philip snatched at the letter which Gregson held out to him.,bea/amused/amused_0061.wav,3.7600907029478456
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0063,bea,amused,0063,"Yes, it was a man who asked, a stranger.",bea/amused/amused_0063.wav,4.220090702947846
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0064,bea,amused,0064,The fourth and fifth days passed without any developments.,bea/amused/amused_0064.wav,3.200045351473923
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0065,bea,amused,0065,They closed now until his fingers were like cords of steel.,bea/amused/amused_0065.wav,4.3100226757369615
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0066,bea,amused,0066,He saw Jeanne falter for a moment.,bea/amused/amused_0066.wav,2.520045351473923
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0067,bea,amused,0067,"Surely I will excuse you, she cried.",bea/amused/amused_0067.wav,3.1900226757369614
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0068,bea,amused,0068,In a flash Philip followed its direction.,bea/amused/amused_0068.wav,3.660090702947846
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0069,bea,amused,0069,It was his intention to return to Eileen and her father.,bea/amused/amused_0069.wav,3.620090702947846
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0070,bea,amused,0070,He would first hunt up Gregson and begin his work there.,bea/amused/amused_0070.wav,3.010068027210884
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0071,bea,amused,0071,What was the object of your little sensation.,bea/amused/amused_0071.wav,2.9100226757369616
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0073,bea,amused,0073,"The promoter's eyes were heavy, with little puffy bags under them.",bea/amused/amused_0073.wav,3.6100226757369613
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0074,bea,amused,0074,"And now, down there, Eileen was waiting for him.",bea/amused/amused_0074.wav,2.6700680272108843
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0075,bea,amused,0075,"There has been a change, she interrupted him.",bea/amused/amused_0075.wav,2.5100226757369613
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0076,bea,amused,0076,The gray eyes faltered; the flush deepened.,bea/amused/amused_0076.wav,3.6700680272108843
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0077,bea,amused,0077,"It is the fire, partly, she said.",bea/amused/amused_0077.wav,1.44
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0078,bea,amused,0078,"Then, and at supper, he tried to fathom her.",bea/amused/amused_0078.wav,2.140045351473923
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0079,bea,amused,0079,It was a large canoe.,bea/amused/amused_0079.wav,1.8700226757369613
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0080,bea,amused,0080,What if Jeanne failed him.,bea/amused/amused_0080.wav,1.060045351473923
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0081,bea,amused,0081,What if she did not come to the rock.,bea/amused/amused_0081.wav,1.8900680272108843
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0082,bea,amused,0082,His face was streaming with blood.,bea/amused/amused_0082.wav,1.4900226757369615
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0083,bea,amused,0083,A shadow was creeping over Pierre's eyes.,bea/amused/amused_0083.wav,3.0500226757369613
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0084,bea,amused,0084,Scarcely had he uttered the name when Pierre's closing eyes shot open.,bea/amused/amused_0084.wav,4.220045351473923
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0085,bea,amused,0085,A trickle of fresh blood ran over his face.,bea/amused/amused_0085.wav,2.8600907029478457
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0086,bea,amused,0086,Death had come with terrible suddenness.,bea/amused/amused_0086.wav,3.540045351473923
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0087,bea,amused,0087,"Philip bent lower, and stared into the face of the dead man.",bea/amused/amused_0087.wav,3.180045351473923
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0088,bea,amused,0088,"He made sure that the magazine was loaded, and resumed his paddling.",bea/amused/amused_0088.wav,4.470022675736962
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0089,bea,amused,0089,The nightglow was treacherous to shoot by.,bea/amused/amused_0089.wav,3.1500680272108843
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0090,bea,amused,0090,The singing voice approached rapidly.,bea/amused/amused_0090.wav,2.580090702947846
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0091,bea,amused,0091,His blood grew hot with rage at the thought.,bea/amused/amused_0091.wav,3.2400453514739227
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0092,bea,amused,0092,"He went down in midstream, searching the shadows of both shores.",bea/amused/amused_0092.wav,3.600045351473923
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0093,bea,amused,0093,For a full minute he crouched and listened.,bea/amused/amused_0093.wav,1.8500680272108843
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0094,bea,amused,0094,He had barely entered this when he saw the glow of a fire.,bea/amused/amused_0094.wav,3.2400453514739227
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0095,bea,amused,0095,A big canvas tent was the first thing to come within his vision.,bea/amused/amused_0095.wav,2.6900680272108843
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0096,bea,amused,0096,Perhaps she had already met her fate a little deeper in the forest.,bea/amused/amused_0096.wav,4.120045351473923
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0098,bea,amused,0098,Shall I carry you?,bea/amused/amused_0098.wav,1.2900680272108844
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0099,bea,amused,0099,A maddening joy pounded in his brain.,bea/amused/amused_0099.wav,3.180045351473923
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0100,bea,amused,0100,"You must sleep, he urged.",bea/amused/amused_0100.wav,2.6300680272108843
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0101,bea,amused,0101,"You, you would not keep the truth from me.",bea/amused/amused_0101.wav,1.9800907029478458
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0102,bea,amused,0102,He will follow us soon.,bea/amused/amused_0102.wav,1.6300226757369614
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0103,bea,amused,0103,But there came no promise from the bow of the canoe.,bea/amused/amused_0103.wav,2.5500226757369613
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0104,bea,amused,0104,She was sleeping under his protection as sweetly as a child.,bea/amused/amused_0104.wav,3.060090702947846
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0105,bea,amused,0105,"Only, it is so wonderful, so almost impossible to believe.",bea/amused/amused_0105.wav,5.300045351473923
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0106,bea,amused,0106,The emotion which she had suppressed burst forth now in a choking sob.,bea/amused/amused_0106.wav,3.960090702947846
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0107,bea,amused,0107,If you only could know how I thank you.,bea/amused/amused_0107.wav,2.2800907029478457
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0108,bea,amused,0108,He waded into the edge of the water and began scrubbing himself.,bea/amused/amused_0108.wav,3.4300680272108846
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0109,bea,amused,0109,Do you know that you are shaking my confidence in you.,bea/amused/amused_0109.wav,3.1700226757369614
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0110,bea,amused,0110,"Much, replied Jeanne, as tersely.",bea/amused/amused_0110.wav,2.140045351473923
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0111,bea,amused,0111,"Instead, he joined her; and they ate like two hungry children.",bea/amused/amused_0111.wav,3.380045351473923
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0112,bea,amused,0112,He was wounded in the arm.,bea/amused/amused_0112.wav,5.400090702947846
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0113,bea,amused,0113,I suppose you picked that lingo up among the Indians.,bea/amused/amused_0113.wav,2.8600907029478457
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0114,bea,amused,0114,Her words sent a strange chill through Philip.,bea/amused/amused_0114.wav,2.8100226757369615
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0115,bea,amused,0115,He had no excuse for the feelings which were aroused in him.,bea/amused/amused_0115.wav,4.090022675736962
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0116,bea,amused,0116,Was it the rendezvous of those who were striving to work his ruin.,bea/amused/amused_0116.wav,4.150022675736961
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0117,bea,amused,0117,"She added, with genuine sympathy in her face and voice.",bea/amused/amused_0117.wav,3.3701133786848074
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0118,bea,amused,0118,Pierre obeys me when we are together.,bea/amused/amused_0118.wav,3.0700226757369613
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0119,bea,amused,0119,Jeanne was turning the bow shoreward.,bea/amused/amused_0119.wav,0.9100680272108843
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0121,bea,amused,0121,"They ate dinner at the fifth, and rested for two hours.",bea/amused/amused_0121.wav,2.3900226757369616
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0122,bea,amused,0122,Two years ago I gave up civilization for this.,bea/amused/amused_0122.wav,2.3700226757369616
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0123,bea,amused,0123,She had died from cold and starvation.,bea/amused/amused_0123.wav,3.1500226757369614
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0124,bea,amused,0124,It was Jeanne singing softly over beyond the rocks.,bea/amused/amused_0124.wav,2.7700680272108844
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0126,bea,amused,0126,Each day she became a more vital part of him.,bea/amused/amused_0126.wav,3.6900226757369614
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0127,bea,amused,0127,"It was a temptation, but he resisted it.",bea/amused/amused_0127.wav,1.8100226757369615
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0128,bea,amused,0128,This one hope was destroyed as quickly as it was born.,bea/amused/amused_0128.wav,3.510068027210884
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0129,bea,amused,0129,Her face was against his breast.,bea/amused/amused_0129.wav,2.3000453514739228
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0130,bea,amused,0130,"She was his now, forever.",bea/amused/amused_0130.wav,2.220045351473923
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0131,bea,amused,0131,Providence had delivered him through the maelstrom.,bea/amused/amused_0131.wav,2.440045351473923
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0132,bea,amused,0132,A cry of joy burst from Philip's lips.,bea/amused/amused_0132.wav,1.9600907029478458
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0133,bea,amused,0133,Philip began to feel that he had foolishly overestimated his strength.,bea/amused/amused_0133.wav,4.160045351473923
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0134,bea,amused,0134,He obeyed the pressure of her hand.,bea/amused/amused_0134.wav,2.8200453514739228
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0135,bea,amused,0135,"I am going to surprise father, and you will go with Pierre.",bea/amused/amused_0135.wav,3.2900226757369615
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0136,bea,amused,0136,"About him, everywhere, were the evidences of luxury and of age.",bea/amused/amused_0136.wav,3.340045351473923
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0137,bea,amused,0137,Then he stepped back with a low cry of pleasure.,bea/amused/amused_0137.wav,3.120090702947846
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0138,bea,amused,0138,In the picture he saw each moment a greater resemblance to Jeanne.,bea/amused/amused_0138.wav,2.8100226757369615
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0139,bea,amused,0139,He told himself that as he washed himself and groomed his disheveled clothes.,bea/amused/amused_0139.wav,5.320090702947846
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0140,bea,amused,0140,"Accept a father's blessing, and with it, this.",bea/amused/amused_0140.wav,3.460045351473923
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0141,bea,amused,0141,It seems like a strange pointing of the hand of God.,bea/amused/amused_0141.wav,3.2600907029478456
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0142,bea,amused,0142,"Such things had occurred before, he told Philip.",bea/amused/amused_0142.wav,2.3900226757369616
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0143,bea,amused,0143,"Ah, I had forgotten, he exclaimed.",bea/amused/amused_0143.wav,3.0700226757369613
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0144,bea,amused,0144,But there was something even more startling than this resemblance.,bea/amused/amused_0144.wav,3.980090702947846
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0145,bea,amused,0145,"I have to be careful of them, as they tear very easily.",bea/amused/amused_0145.wav,3.840045351473923
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0146,bea,amused,0146,"Of course, that is uninteresting, she continued.",bea/amused/amused_0146.wav,2.5900226757369613
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0147,bea,amused,0147,A moment before he was intoxicated by a joy that was almost madness.,bea/amused/amused_0147.wav,6.050068027210885
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0149,bea,amused,0149,For an instant he saw Pierre drawn like a silhouette against the sky.,bea/amused/amused_0149.wav,4.300045351473923
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0150,bea,amused,0150,"Goodbye, Pierre, he shouted.",bea/amused/amused_0150.wav,1.8700226757369613
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0152,bea,amused,0152,Philip thrust himself against it and entered.,bea/amused/amused_0152.wav,2.3200453514739228
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0154,bea,amused,0154,"He was smooth-shaven, and his hair and eyes were black.",bea/amused/amused_0154.wav,3.0700680272108842
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0155,bea,amused,0155,"Won't you draw up, gentlemen.",bea/amused/amused_0155.wav,1.7300680272108844
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0156,bea,amused,0156,A strange fire burned in his eyes when Thorpe turned.,bea/amused/amused_0156.wav,3.7300680272108844
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0158,bea,amused,0158,Does that look good.,bea/amused/amused_0158.wav,2.0700680272108842
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0159,bea,amused,0159,They look as though he had been drumming a piano all his life.,bea/amused/amused_0159.wav,2.7300680272108844
EmoV-DB,03_EmoV-DB-sr-22050-trim-fa-vad,bea_amused_0160,bea,amused,0160,You want to go over and see his gang throw dirt.,bea/amused/amused_0160.wav,2.480045351473923
